week,date,kickoff_et,away_team,home_team,network,site_note,window,neutral_site,international
16,2025-12-20,,Green Bay Packers,Chicago,,,,False,False
16,2025-12-20,,Philadelphia Eagles,Washington,,,,False,False
16,2025-12-21,,Atlanta Falcons,Arizona,,,,False,False
16,2025-12-21,,Buffalo Bills,Cleveland,,,,False,False
16,2025-12-21,,Cincinnati Bengals,Miami,,,,False,False
16,2025-12-21,,Jacksonville Jaguars,Denver,,,,False,False
16,2025-12-21,,Kansas City Chiefs,Tennessee,,,,False,False
16,2025-12-21,,Las Vegas Raiders,Houston,,,,False,False
16,2025-12-21,,Los Angeles Chargers,Dallas,,,,False,False
16,2025-12-21,,Minnesota Vikings,New,,,,False,False
16,2025-12-21,,New England Patriots,Baltimore,,,,False,False
16,2025-12-21,,New York Jets,New,,,,False,False
16,2025-12-21,,Pittsburgh Steelers,Detroit,,,,False,False
16,2025-12-21,,Tampa Bay Buccaneers,Carolina,,,,False,False
16,2025-12-22,,ers,Indianapolis,,,,False,False
17,2025-12-25,,Dallas Cowboys,Washington,,,,False,False
17,2025-12-25,,Denver Broncos,Kansas,,,,False,False
17,2025-12-25,,Detroit Lions,Minnesota,,,,False,False
17,2025-12-27,,Arizona Cardinals,Cincinnati,,,,False,False
17,2025-12-27,,Baltimore Ravens,Green,,,,False,False
17,2025-12-27,,Houston Texans,Los,,,,False,False
17,2025-12-27,,New York Giants,Las,,,,False,False
17,2025-12-27,,Seattle Seahawks,Carolina,,,,False,False
17,2025-12-28,,Chicago Bears,San,,,,False,False
17,2025-12-28,,Jacksonville Jaguars,Indianapolis,,,,False,False
17,2025-12-28,,New England Patriots,New,,,,False,False
17,2025-12-28,,New Orleans Saints,Tennessee,,,,False,False
17,2025-12-28,,Philadelphia Eagles,Buffalo,,,,False,False
17,2025-12-28,,Pittsburgh Steelers,Cleveland,,,,False,False
17,2025-12-28,,Tampa Bay Buccaneers,Miami,,,,False,False
17,2025-12-29,,Los Angeles Rams,Atlanta,,,,False,False
18,2025-01-03,,Arizona Cardinals,Los,,,,False,False
18,2025-01-03,,Baltimore Ravens,Pittsburgh,,,,False,False
18,2025-01-03,,Carolina Panthers,Tampa,,,,False,False
18,2025-01-03,,Cleveland Browns,Cincinnati,,,,False,False
18,2025-01-03,,Dallas Cowboys,New,,,,False,False
18,2025-01-03,,Detroit Lions,Chicago,,,,False,False
18,2025-01-03,,Green Bay Packers,Minnesota,,,,False,False
18,2025-01-03,,Indianapolis Colts,Houston,,,,False,False
18,2025-01-03,,Kansas City Chiefs,Las,,,,False,False
18,2025-01-03,,Los Angeles Chargers,Denver,,,,False,False
18,2025-01-03,,Miami Dolphins,New,,,,False,False
18,2025-01-03,,New Orleans Saints,Atlanta,,,,False,False
18,2025-01-03,,New York Jets,Buffalo,,,,False,False
18,2025-01-03,,Seattle Seahawks,San,,,,False,False
18,2025-01-03,,Tennessee Titans,Jacksonville,,,,False,False
18,2025-01-03,,Washington Commanders,Philadelphia,,,,False,False
