Week,Away Team,Home Team,Date,Time,Kickoff ISO
12,Philadelphia Eagles,Dallas,2025-11-23,,2025-11-23 00:00
12,Pittsburgh Steelers,Chicago,2025-11-23,,2025-11-23 00:00
12,Seattle Seahawks,Tennessee,2025-11-23,,2025-11-23 00:00
12,Tampa Bay Buccaneers,Los,2025-11-23,,2025-11-23 00:00
12,Carolina Panthers,San,2025-11-24,,2025-11-24 00:00
13,Cincinnati Bengals,Baltimore,2025-11-27,,2025-11-27 00:00
13,Green Bay Packers,Detroit,2025-11-27,,2025-11-27 00:00
13,Kansas City Chiefs,Dallas,2025-11-27,,2025-11-27 00:00
13,Chicago Bears,Philadelphia,2025-11-28,,2025-11-28 00:00
13,Arizona Cardinals,Tampa,2025-11-30,,2025-11-30 00:00
13,Atlanta Falcons,New,2025-11-30,,2025-11-30 00:00
13,Buffalo Bills,Pittsburgh,2025-11-30,,2025-11-30 00:00
13,Denver Broncos,Washington,2025-11-30,,2025-11-30 00:00
13,Houston Texans,Indianapolis,2025-11-30,,2025-11-30 00:00
13,Jacksonville Jaguars,Tennessee,2025-11-30,,2025-11-30 00:00
13,Las Vegas Raiders,Los,2025-11-30,,2025-11-30 00:00
13,Los Angeles Rams,Carolina,2025-11-30,,2025-11-30 00:00
13,Minnesota Vikings,Seattle,2025-11-30,,2025-11-30 00:00
13,New Orleans Saints,Miami,2025-11-30,,2025-11-30 00:00
13,ers,Cleveland,2025-11-30,,2025-11-30 00:00
13,New York Giants,New,2025-12-01,,2025-12-01 00:00
14,Dallas Cowboys,Detroit,2025-12-04,,2025-12-04 00:00
14,Chicago Bears,Green,2025-12-07,,2025-12-07 00:00
14,Cincinnati Bengals,Buffalo,2025-12-07,,2025-12-07 00:00
14,Denver Broncos,Las,2025-12-07,,2025-12-07 00:00
14,Houston Texans,Kansas,2025-12-07,,2025-12-07 00:00
14,Indianapolis Colts,Jacksonville,2025-12-07,,2025-12-07 00:00
14,Los Angeles Rams,Arizona,2025-12-07,,2025-12-07 00:00
14,Miami Dolphins,New,2025-12-07,,2025-12-07 00:00
14,New Orleans Saints,Tampa,2025-12-07,,2025-12-07 00:00
14,Pittsburgh Steelers,Baltimore,2025-12-07,,2025-12-07 00:00
14,Seattle Seahawks,Atlanta,2025-12-07,,2025-12-07 00:00
14,Tennessee Titans,Cleveland,2025-12-07,,2025-12-07 00:00
14,Washington Commanders,Minnesota,2025-12-07,,2025-12-07 00:00
14,Philadelphia Eagles,Los,2025-12-08,,2025-12-08 00:00
15,Atlanta Falcons,Tampa,2025-12-11,,2025-12-11 00:00
15,Arizona Cardinals,Houston,2025-12-14,,2025-12-14 00:00
15,Baltimore Ravens,Cincinnati,2025-12-14,,2025-12-14 00:00
15,Buffalo Bills,New,2025-12-14,,2025-12-14 00:00
15,Carolina Panthers,New,2025-12-14,,2025-12-14 00:00
15,Cleveland Browns,Chicago,2025-12-14,,2025-12-14 00:00
15,Detroit Lions,Los,2025-12-14,,2025-12-14 00:00
15,Green Bay Packers,Denver,2025-12-14,,2025-12-14 00:00
15,Indianapolis Colts,Seattle,2025-12-14,,2025-12-14 00:00
15,Las Vegas Raiders,Philadelphia,2025-12-14,,2025-12-14 00:00
15,Los Angeles Chargers,Kansas,2025-12-14,,2025-12-14 00:00
15,Minnesota Vikings,Dallas,2025-12-14,,2025-12-14 00:00
15,New York Jets,Jacksonville,2025-12-14,,2025-12-14 00:00
15,Tennessee Titans,San,2025-12-14,,2025-12-14 00:00
15,Washington Commanders,New,2025-12-14,,2025-12-14 00:00
15,Miami Dolphins,Pittsburgh,2025-12-15,,2025-12-15 00:00
16,Los Angeles Rams,Seattle,2025-12-18,,2025-12-18 00:00
16,Green Bay Packers,Chicago,2025-12-20,,2025-12-20 00:00
16,Philadelphia Eagles,Washington,2025-12-20,,2025-12-20 00:00
16,Atlanta Falcons,Arizona,2025-12-21,,2025-12-21 00:00
16,Buffalo Bills,Cleveland,2025-12-21,,2025-12-21 00:00
16,Cincinnati Bengals,Miami,2025-12-21,,2025-12-21 00:00
16,Jacksonville Jaguars,Denver,2025-12-21,,2025-12-21 00:00
16,Kansas City Chiefs,Tennessee,2025-12-21,,2025-12-21 00:00
16,Las Vegas Raiders,Houston,2025-12-21,,2025-12-21 00:00
16,Los Angeles Chargers,Dallas,2025-12-21,,2025-12-21 00:00
16,Minnesota Vikings,New,2025-12-21,,2025-12-21 00:00
16,New England Patriots,Baltimore,2025-12-21,,2025-12-21 00:00
16,New York Jets,New,2025-12-21,,2025-12-21 00:00
16,Pittsburgh Steelers,Detroit,2025-12-21,,2025-12-21 00:00
16,Tampa Bay Buccaneers,Carolina,2025-12-21,,2025-12-21 00:00
16,ers,Indianapolis,2025-12-22,,2025-12-22 00:00
17,Dallas Cowboys,Washington,2025-12-25,,2025-12-25 00:00
17,Denver Broncos,Kansas,2025-12-25,,2025-12-25 00:00
17,Detroit Lions,Minnesota,2025-12-25,,2025-12-25 00:00
17,Arizona Cardinals,Cincinnati,2025-12-27,,2025-12-27 00:00
17,Baltimore Ravens,Green,2025-12-27,,2025-12-27 00:00
17,Houston Texans,Los,2025-12-27,,2025-12-27 00:00
17,New York Giants,Las,2025-12-27,,2025-12-27 00:00
17,Seattle Seahawks,Carolina,2025-12-27,,2025-12-27 00:00
17,Chicago Bears,San,2025-12-28,,2025-12-28 00:00
17,Jacksonville Jaguars,Indianapolis,2025-12-28,,2025-12-28 00:00
17,New England Patriots,New,2025-12-28,,2025-12-28 00:00
17,New Orleans Saints,Tennessee,2025-12-28,,2025-12-28 00:00
17,Philadelphia Eagles,Buffalo,2025-12-28,,2025-12-28 00:00
